t=520769 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.98,-2.75,-2.19) | IMU2 a=(9.56,2.66,78.45
t=520889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.98,-2.76,-2.21) | IMU2 a=(9.56,2.65,78.45
t=521009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.99,-2.78,-2.17) | IMU2 a=(9.56,2.66,78.45
t=521129 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.99,-2.77,-2.19) | IMU2 a=(9.57,2.66,78.45
t=521249 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.41,-2.53,-2.29) | IMU2 a=(9.90,2.48,78.45
t=521369 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.30 Spd=0.00 | IMU1 a=(9.50,-1.91,-0.98) | IMU2 a=(9.59,1.76,78.45
t=521489 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.31,-2.55,-2.17) | IMU2 a=(9.78,2.47,78.45
t=521609 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-2.50,-1.84) | IMU2 a=(9.77,2.37,78.45
t=521729 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.30,-2.27,-1.72) | IMU2 a=(9.91,2.15,78.45
t=521849 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.25,-2.15,-1.58) | IMU2 a=(9.93,2.05,78.45
t=521969 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.43,-2.30,-2.42) | IMU2 a=(9.90,2.22,78.45
t=522089 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-2.58,-2.61) | IMU2 a=(9.66,2.43,78.45
t=522209 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(9.09,-1.28,-3.70) | IMU2 a=(8.90,1.49,78.45
